INFO backend.py:1050:  Mock Version: 1.1.38
DEBUG backend.py:342:  rootdir = /var/lib/mock/epel-6-x86_64/root/
DEBUG backend.py:343:  resultdir = result
INFO backend.py:346:  calling preinit hooks
DEBUG util.py:65:  ensuring that dir exists: /var/cache/mock/epel-6-x86_64/root_cache/
DEBUG util.py:332:  Executing command: ['tar', '--use-compress-program', 'pigz', '-xf', '/var/cache/mock/epel-6-x86_64/root_cache/cache.tar.gz', '-C', '/var/lib/mock/epel-6-x86_64/root/'] with env {'LANG': 'en_US.UTF-8', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:372:  Child return code was: 0
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/./proc
DEBUG util.py:68:  creating dir: /var/lib/mock/epel-6-x86_64/root/./proc
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/./sys
DEBUG util.py:68:  creating dir: /var/lib/mock/epel-6-x86_64/root/./sys
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/./dev
DEBUG util.py:68:  creating dir: /var/lib/mock/epel-6-x86_64/root/./dev
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/./tmp/ccache
DEBUG util.py:68:  creating dir: /var/lib/mock/epel-6-x86_64/root/./tmp/ccache
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/./var/cache/yum
DEBUG util.py:68:  creating dir: /var/lib/mock/epel-6-x86_64/root/./var/cache/yum
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/var/cache/yum
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/tmp/ccache
DEBUG util.py:65:  ensuring that dir exists: /var/cache/mock/epel-6-x86_64/ccache/
DEBUG backend.py:515:  create skeleton dirs
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/var/lib/rpm
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/epel-6-x86_64/root/var/lib/yum
